Date,Province/Region,Confirmed,Deaths,Recovered
10-Mar-20,Sindh,14,0,1
11-Mar-20,Sindh,14,0,2
12-Mar-20,Sindh,15,0,2
13-Mar-20,Sindh,16,0,3
14-Mar-20,Sindh,18,0,3
15-Mar-20,Sindh,34,0,3
16-Mar-20,Sindh,150,0,3
17-Mar-20,Sindh,172,0,3
18-Mar-20,Sindh,208,0,3
19-Mar-20,Sindh,238,0,3
20-Mar-20,Sindh,259,1,3
21-Mar-20,Sindh,292,1,3
22-Mar-20,Sindh,352,1,4
23-Mar-20,Sindh,399,1,4
24-Mar-20,Sindh,413,1,14
25-Mar-20,Sindh,417,1,14
26-Mar-20,Sindh,429,1,14
27-Mar-20,Sindh,457,1,14
28-Mar-20,Sindh,481,2,14
29-Mar-20,Sindh,508,5,16
30-Mar-20,Sindh,627,7,42
31-Mar-20,Sindh,676,8,51
1-Apr-20,Sindh,743,9,58
2-Apr-20,Sindh,783,11,65
3-Apr-20,Sindh,839,14,65
4-Apr-20,Sindh,864,15,85
5-Apr-20,Sindh,881,15,123
6-Apr-20,Sindh,932,17,253
,,,,
