Date,Province/Region,Confirmed,Deaths,Recovered,Pdenisty
10-Mar-20,AJK,0,0,0,340
11-Mar-20,AJK,0,0,0,340
12-Mar-20,AJK,0,0,0,340
13-Mar-20,AJK,0,0,0,340
14-Mar-20,AJK,0,0,0,340
15-Mar-20,AJK,0,0,0,340
16-Mar-20,AJK,0,0,0,340
17-Mar-20,AJK,0,0,0,340
18-Mar-20,AJK,1,0,0,340
19-Mar-20,AJK,1,0,0,340
20-Mar-20,AJK,1,0,0,340
21-Mar-20,AJK,1,0,0,340
22-Mar-20,AJK,1,0,0,340
23-Mar-20,AJK,1,0,0,340
24-Mar-20,AJK,1,0,0,340
25-Mar-20,AJK,1,0,0,340
26-Mar-20,AJK,2,0,0,340
27-Mar-20,AJK,2,0,0,340
28-Mar-20,AJK,2,0,0,340
29-Mar-20,AJK,6,0,0,340
30-Mar-20,AJK,6,0,0,340
31-Mar-20,AJK,6,0,0,340
1-Apr-20,AJK,9,0,0,340
2-Apr-20,AJK,9,0,0,340
3-Apr-20,AJK,11,0,0,340
4-Apr-20,AJK,12,0,1,340
5-Apr-20,AJK,15,0,1,340
6-Apr-20,AJK,18,0,1,340
7-Apr-20,AJK,19,0,1,340
