Date,Province/Region,Confirmed,Deaths,Recovered,Pdenisty
10-Mar-20,Balochistan,1,0,0,36
11-Mar-20,Balochistan,1,0,0,36
12-Mar-20,Balochistan,1,0,0,36
13-Mar-20,Balochistan,6,0,0,36
14-Mar-20,Balochistan,6,0,0,36
15-Mar-20,Balochistan,11,0,0,36
16-Mar-20,Balochistan,14,0,0,36
17-Mar-20,Balochistan,15,0,0,36
18-Mar-20,Balochistan,23,0,0,36
19-Mar-20,Balochistan,81,0,0,36
20-Mar-20,Balochistan,103,0,0,36
21-Mar-20,Balochistan,104,0,0,36
22-Mar-20,Balochistan,108,1,0,36
23-Mar-20,Balochistan,110,1,0,36
24-Mar-20,Balochistan,115,1,0,36
25-Mar-20,Balochistan,131,1,0,36
26-Mar-20,Balochistan,131,1,0,36
27-Mar-20,Balochistan,133,1,0,36
28-Mar-20,Balochistan,138,1,2,36
29-Mar-20,Balochistan,144,1,2,36
30-Mar-20,Balochistan,153,1,2,36
31-Mar-20,Balochistan,158,1,17,36
1-Apr-20,Balochistan,169,1,17,36
2-Apr-20,Balochistan,169,1,17,36
3-Apr-20,Balochistan,175,1,17,36
4-Apr-20,Balochistan,185,1,17,36
5-Apr-20,Balochistan,191,1,30,36
6-Apr-20,Balochistan,202,1,63,36
7-Apr-20,Balochistan,206,2,75,36
