Date,Province/Region,Confirmed,Deaths,Recovered,Pdenisty
10-Mar-20,Islamabad,2,0,0,2089
11-Mar-20,Islamabad,2,0,0,2089
12-Mar-20,Islamabad,2,0,0,2089
13-Mar-20,Islamabad,3,0,0,2089
14-Mar-20,Islamabad,4,0,0,2089
15-Mar-20,Islamabad,4,0,0,2089
16-Mar-20,Islamabad,4,0,1,2089
17-Mar-20,Islamabad,5,0,1,2089
18-Mar-20,Islamabad,5,0,2,2089
19-Mar-20,Islamabad,10,0,2,2089
20-Mar-20,Islamabad,10,0,2,2089
21-Mar-20,Islamabad,11,0,2,2089
22-Mar-20,Islamabad,15,0,2,2089
23-Mar-20,Islamabad,15,0,2,2089
24-Mar-20,Islamabad,16,0,2,2089
25-Mar-20,Islamabad,25,0,2,2089
26-Mar-20,Islamabad,27,0,2,2089
27-Mar-20,Islamabad,36,0,2,2089
28-Mar-20,Islamabad,43,0,2,2089
29-Mar-20,Islamabad,51,0,3,2089
30-Mar-20,Islamabad,54,0,3,2089
31-Mar-20,Islamabad,54,0,3,2089
1-Apr-20,Islamabad,62,0,3,2089
2-Apr-20,Islamabad,68,0,3,2089
3-Apr-20,Islamabad,75,0,3,2089
4-Apr-20,Islamabad,78,0,3,2089
5-Apr-20,Islamabad,82,0,3,2089
6-Apr-20,Islamabad,83,1,3,2089
7-Apr-20,Islamabad,92,1,3,2089
