Date,Province/Region,Confirmed,Deaths,Recovered,Pdenisty
10-Mar-20,KPK,0,0,0,350
11-Mar-20,KPK,0,0,0,350
12-Mar-20,KPK,0,0,0,350
13-Mar-20,KPK,0,0,0,350
14-Mar-20,KPK,0,0,0,350
15-Mar-20,KPK,0,0,0,350
16-Mar-20,KPK,15,0,0,350
17-Mar-20,KPK,17,0,0,350
18-Mar-20,KPK,19,2,0,350
19-Mar-20,KPK,23,2,0,350
20-Mar-20,KPK,27,2,0,350
21-Mar-20,KPK,31,2,0,350
22-Mar-20,KPK,31,3,0,350
23-Mar-20,KPK,38,3,0,350
24-Mar-20,KPK,78,3,0,350
25-Mar-20,KPK,121,3,2,350
26-Mar-20,KPK,147,3,2,350
27-Mar-20,KPK,180,3,2,350
28-Mar-20,KPK,188,4,2,350
29-Mar-20,KPK,195,5,2,350
30-Mar-20,KPK,221,6,2,350
31-Mar-20,KPK,253,6,2,350
1-Apr-20,KPK,274,8,19,350
2-Apr-20,KPK,311,9,30,350
3-Apr-20,KPK,343,11,30,350
4-Apr-20,KPK,372,14,30,350
5-Apr-20,KPK,415,16,62,350
6-Apr-20,KPK,500,17,69,350
7-Apr-20,KPK,527,18,70,350
