Date,Province/Region,Confirmed,Deaths,Recovered,Pdenisty
10-Mar-20,Sindh,14,0,1,340
11-Mar-20,Sindh,14,0,2,340
12-Mar-20,Sindh,15,0,2,340
13-Mar-20,Sindh,16,0,3,340
14-Mar-20,Sindh,18,0,3,340
15-Mar-20,Sindh,34,0,3,340
16-Mar-20,Sindh,150,0,3,340
17-Mar-20,Sindh,172,0,3,340
18-Mar-20,Sindh,208,0,3,340
19-Mar-20,Sindh,238,0,3,340
20-Mar-20,Sindh,259,1,3,340
21-Mar-20,Sindh,292,1,3,340
22-Mar-20,Sindh,352,1,4,340
23-Mar-20,Sindh,399,1,4,340
24-Mar-20,Sindh,413,1,14,340
25-Mar-20,Sindh,417,1,14,340
26-Mar-20,Sindh,429,1,14,340
27-Mar-20,Sindh,457,1,14,340
28-Mar-20,Sindh,481,2,14,340
29-Mar-20,Sindh,508,5,16,340
30-Mar-20,Sindh,627,7,42,340
31-Mar-20,Sindh,676,8,51,340
1-Apr-20,Sindh,743,9,58,340
2-Apr-20,Sindh,783,11,65,340
3-Apr-20,Sindh,839,14,65,340
4-Apr-20,Sindh,864,15,85,340
5-Apr-20,Sindh,881,15,123,340
6-Apr-20,Sindh,932,17,253,340
7-Apr-20,Sindh,986,18,269,340
