Date,Province/Region,Confirmed,Deaths,Recovered
10-Mar-20,Pakistan,19,0,1
11-Mar-20,Pakistan,20,0,2
12-Mar-20,Pakistan,21,0,2
13-Mar-20,Pakistan,28,0,3
14-Mar-20,Pakistan,31,0,3
15-Mar-20,Pakistan,53,0,3
16-Mar-20,Pakistan,187,0,4
17-Mar-20,Pakistan,238,0,4
18-Mar-20,Pakistan,302,2,5
19-Mar-20,Pakistan,457,2,5
20-Mar-20,Pakistan,534,3,5
21-Mar-20,Pakistan,646,3,5
22-Mar-20,Pakistan,803,6,6
23-Mar-20,Pakistan,892,6,6
24-Mar-20,Pakistan,1000,7,19
25-Mar-20,Pakistan,1102,8,21
26-Mar-20,Pakistan,1235,9,23
27-Mar-20,Pakistan,1405,11,25
28-Mar-20,Pakistan,1526,13,28
29-Mar-20,Pakistan,1625,18,32
30-Mar-20,Pakistan,1861,25,58
31-Mar-20,Pakistan,2039,26,82
1-Apr-20,Pakistan,2289,31,107
2-Apr-20,Pakistan,2450,35,126
3-Apr-20,Pakistan,2708,40,130
4-Apr-20,Pakistan,2880,45,170
5-Apr-20,Pakistan,3287,50,257
6-Apr-20,Pakistan,3864,54,429
7-Apr-20,Pakistan,4072,58,467
,,,,
