Date,Province/Region,Confirmed,Deaths,Recovered
10-Mar-20,AJK,0,0,0
11-Mar-20,AJK,0,0,0
12-Mar-20,AJK,0,0,0
13-Mar-20,AJK,0,0,0
14-Mar-20,AJK,0,0,0
15-Mar-20,AJK,0,0,0
16-Mar-20,AJK,0,0,0
17-Mar-20,AJK,0,0,0
18-Mar-20,AJK,1,0,0
19-Mar-20,AJK,1,0,0
20-Mar-20,AJK,1,0,0
21-Mar-20,AJK,1,0,0
22-Mar-20,AJK,1,0,0
23-Mar-20,AJK,1,0,0
24-Mar-20,AJK,1,0,0
25-Mar-20,AJK,1,0,0
26-Mar-20,AJK,2,0,0
27-Mar-20,AJK,2,0,0
28-Mar-20,AJK,2,0,0
29-Mar-20,AJK,6,0,0
30-Mar-20,AJK,6,0,0
31-Mar-20,AJK,6,0,0
1-Apr-20,AJK,9,0,0
2-Apr-20,AJK,9,0,0
3-Apr-20,AJK,11,0,0
4-Apr-20,AJK,12,0,1
5-Apr-20,AJK,15,0,1
6-Apr-20,AJK,18,0,1
7-Apr-20,AJK,19,0,1
8-Apr-20,AJK,28,0,1
