Date,Province/Region,Confirmed,Deaths,Recovered
10-Mar-20,Balochistan,1,0,0
11-Mar-20,Balochistan,1,0,0
12-Mar-20,Balochistan,1,0,0
13-Mar-20,Balochistan,6,0,0
14-Mar-20,Balochistan,6,0,0
15-Mar-20,Balochistan,11,0,0
16-Mar-20,Balochistan,14,0,0
17-Mar-20,Balochistan,15,0,0
18-Mar-20,Balochistan,23,0,0
19-Mar-20,Balochistan,81,0,0
20-Mar-20,Balochistan,103,0,0
21-Mar-20,Balochistan,104,0,0
22-Mar-20,Balochistan,108,1,0
23-Mar-20,Balochistan,110,1,0
24-Mar-20,Balochistan,115,1,0
25-Mar-20,Balochistan,131,1,0
26-Mar-20,Balochistan,131,1,0
27-Mar-20,Balochistan,133,1,0
28-Mar-20,Balochistan,138,1,2
29-Mar-20,Balochistan,144,1,2
30-Mar-20,Balochistan,153,1,2
31-Mar-20,Balochistan,158,1,17
1-Apr-20,Balochistan,169,1,17
2-Apr-20,Balochistan,169,1,17
3-Apr-20,Balochistan,175,1,17
4-Apr-20,Balochistan,185,1,17
5-Apr-20,Balochistan,191,1,30
6-Apr-20,Balochistan,202,1,63
7-Apr-20,Balochistan,206,2,75
8-Apr-20,Balochistan,212,2,76
