Date,Province/Region,Confirmed,Deaths,Recovered
10-Mar-20,GilgitBaltistan,2,0,0
11-Mar-20,GilgitBaltistan,3,0,0
12-Mar-20,GilgitBaltistan,3,0,0
13-Mar-20,GilgitBaltistan,3,0,0
14-Mar-20,GilgitBaltistan,3,0,0
15-Mar-20,GilgitBaltistan,3,0,0
16-Mar-20,GilgitBaltistan,3,0,0
17-Mar-20,GilgitBaltistan,3,0,0
18-Mar-20,GilgitBaltistan,13,0,0
19-Mar-20,GilgitBaltistan,21,0,0
20-Mar-20,GilgitBaltistan,30,0,0
21-Mar-20,GilgitBaltistan,55,0,0
22-Mar-20,GilgitBaltistan,71,1,0
23-Mar-20,GilgitBaltistan,80,1,0
24-Mar-20,GilgitBaltistan,81,1,0
25-Mar-20,GilgitBaltistan,84,1,0
26-Mar-20,GilgitBaltistan,91,1,2
27-Mar-20,GilgitBaltistan,107,1,3
28-Mar-20,GilgitBaltistan,116,1,4
29-Mar-20,GilgitBaltistan,128,1,4
30-Mar-20,GilgitBaltistan,148,2,4
31-Mar-20,GilgitBaltistan,184,2,4
1-Apr-20,GilgitBaltistan,187,2,4
2-Apr-20,GilgitBaltistan,190,3,5
3-Apr-20,GilgitBaltistan,193,3,9
4-Apr-20,GilgitBaltistan,206,3,9
5-Apr-20,GilgitBaltistan,210,3,13
6-Apr-20,GilgitBaltistan,211,3,15
7-Apr-20,GilgitBaltistan,212,3,15
8-Apr-20,GilgitBaltistan,213,3,96
