Date,Province/Region,Confirmed,Deaths,Recovered
10-Mar-20,Islamabad,2,0,0
11-Mar-20,Islamabad,2,0,0
12-Mar-20,Islamabad,2,0,0
13-Mar-20,Islamabad,3,0,0
14-Mar-20,Islamabad,4,0,0
15-Mar-20,Islamabad,4,0,0
16-Mar-20,Islamabad,4,0,1
17-Mar-20,Islamabad,5,0,1
18-Mar-20,Islamabad,5,0,2
19-Mar-20,Islamabad,10,0,2
20-Mar-20,Islamabad,10,0,2
21-Mar-20,Islamabad,11,0,2
22-Mar-20,Islamabad,15,0,2
23-Mar-20,Islamabad,15,0,2
24-Mar-20,Islamabad,16,0,2
25-Mar-20,Islamabad,25,0,2
26-Mar-20,Islamabad,27,0,2
27-Mar-20,Islamabad,36,0,2
28-Mar-20,Islamabad,43,0,2
29-Mar-20,Islamabad,51,0,3
30-Mar-20,Islamabad,54,0,3
31-Mar-20,Islamabad,54,0,3
1-Apr-20,Islamabad,62,0,3
2-Apr-20,Islamabad,68,0,3
3-Apr-20,Islamabad,75,0,3
4-Apr-20,Islamabad,78,0,3
5-Apr-20,Islamabad,82,0,3
6-Apr-20,Islamabad,83,1,3
7-Apr-20,Islamabad,92,1,3
8-Apr-20,Islamabad,102,1,10
