Date,Province/Region,Confirmed,Deaths,Recovered
10-Mar-20,KPK,0,0,0
11-Mar-20,KPK,0,0,0
12-Mar-20,KPK,0,0,0
13-Mar-20,KPK,0,0,0
14-Mar-20,KPK,0,0,0
15-Mar-20,KPK,0,0,0
16-Mar-20,KPK,15,0,0
17-Mar-20,KPK,17,0,0
18-Mar-20,KPK,19,2,0
19-Mar-20,KPK,23,2,0
20-Mar-20,KPK,27,2,0
21-Mar-20,KPK,31,2,0
22-Mar-20,KPK,31,3,0
23-Mar-20,KPK,38,3,0
24-Mar-20,KPK,78,3,0
25-Mar-20,KPK,121,3,2
26-Mar-20,KPK,147,3,2
27-Mar-20,KPK,180,3,2
28-Mar-20,KPK,188,4,2
29-Mar-20,KPK,195,5,2
30-Mar-20,KPK,221,6,2
31-Mar-20,KPK,253,6,2
1-Apr-20,KPK,274,8,19
2-Apr-20,KPK,311,9,30
3-Apr-20,KPK,343,11,30
4-Apr-20,KPK,372,14,30
5-Apr-20,KPK,415,16,62
6-Apr-20,KPK,500,17,69
7-Apr-20,KPK,529,18,70
8-Apr-20,KPK,560,20,74
