Date,Province/Region,Confirmed,Deaths,Recovered
3/10/2020,Punjab,0,0,0
3/11/2020,Punjab,0,0,0
3/12/2020,Punjab,0,0,0
3/13/2020,Punjab,0,0,0
3/14/2020,Punjab,0,0,0
3/15/2020,Punjab,1,0,0
3/16/2020,Punjab,1,0,0
3/17/2020,Punjab,26,0,0
3/18/2020,Punjab,33,0,0
3/19/2020,Punjab,83,0,0
3/20/2020,Punjab,104,0,0
3/21/2020,Punjab,152,0,0
3/22/2020,Punjab,225,0,0
3/23/2020,Punjab,249,0,0
3/24/2020,Punjab,296,1,3
3/25/2020,Punjab,323,2,3
3/26/2020,Punjab,408,3,3
3/27/2020,Punjab,490,5,4
3/28/2020,Punjab,558,5,4
3/29/2020,Punjab,593,6,5
3/30/2020,Punjab,652,9,5
3/31/2020,Punjab,708,9,5
4/1/2020,Punjab,845,11,6
4/2/2020,Punjab,920,11,6
4/3/2020,Punjab,1072,11,6
4/4/2020,Punjab,1163,12,25
4/5/2020,Punjab,1493,15,25
4/6/2020,Punjab,1918,15,25
4/7/2020,Punjab,2030,16,34
4/8/2020,Punjab,2171,17,35
